ticker,date,open,high,low,close,volume,volume_pln
KGH.WA,2024-03-21,117,118,115.95,117.5,780795,91743412.5
KGH.WA,2024-03-22,115.65,119.35,115.25,117.05,754995,88372164.75
KGH.WA,2024-03-25,114.1,114.3,109.5,109.7,1503171,164897858.7
KGH.WA,2024-03-26,109.9,111.3,109.05,110.65,777284,86006474.6
KGH.WA,2024-03-27,110.7,110.9,108.7,109.65,576766,63242391.9
KGH.WA,2024-03-28,110,114.2,110,114.15,838958,95767055.7
KGH.WA,2024-04-02,114.4,119.15,114.25,118.45,1392294,164917224.3
KGH.WA,2024-04-03,118.65,122,117.45,121.4,1322593,160562790.2
KGH.WA,2024-04-04,122.6,128,122.6,128,2230990,285566720
KGH.WA,2024-04-05,126.8,128.4,125.15,128.25,1550364,198834183
KGH.WA,2024-04-08,128,132.55,127.6,129.3,1148268,148471052.4
KGH.WA,2024-04-09,130.8,142.55,129.7,140.6,2702998,380041518.8
KGH.WA,2024-04-10,142.1,145,138.9,142.35,1663105,236742996.75
KGH.WA,2024-04-11,141.6,143.55,139.55,141.15,938585,132481272.75
KGH.WA,2024-04-12,143.25,146.75,143.2,144.5,1015831,146787579.5
KGH.WA,2024-04-15,145.2,147.55,143,144.2,583759,84178047.8
KGH.WA,2024-04-16,141,141.15,135.4,137.55,925226,127264836.3
KGH.WA,2024-04-17,138,143.4,137,142.4,832330,118523792
KGH.WA,2024-04-18,145,147.2,141.85,143.6,706931,101515291.6
KGH.WA,2024-04-19,143,144.2,141,142.4,448299,63837777.6
KGH.WA,2024-04-22,143,143.5,139.25,139.65,580462,81061518.3
KGH.WA,2024-04-23,137.85,137.9,132.05,132.65,1400385,185761070.25
KGH.WA,2024-04-24,134.5,137,132.1,132.9,816131,108463809.9
KGH.WA,2024-04-25,134.2,139.2,134,137.95,933973,128841575.35
KGH.WA,2024-04-26,141.05,142.75,139.55,139.7,966763,135056791.1
KGH.WA,2024-04-29,140.3,143.8,139.5,143.8,792777,114001332.6
KGH.WA,2024-04-30,143.85,143.95,139.7,140.65,1520080,213799252
KGH.WA,2024-05-02,140.75,141.4,138.45,139.95,504042,70540677.9
KGH.WA,2024-05-06,141.75,144.4,141.7,144.2,603682,87050944.4
KGH.WA,2024-05-07,144,145.95,140.65,143.8,425369,61168062.2
KGH.WA,2024-05-08,145,149.7,144.5,147,997735,146667045
KGH.WA,2024-05-09,148,149.4,145.4,149.2,404779,60393026.8
KGH.WA,2024-05-10,150.5,154.4,149,150,908923,136338450
KGH.WA,2024-05-13,150,152.85,149.35,152.2,452368,68850409.6
KGH.WA,2024-05-14,154,155.5,151.85,154.45,567203,87604503.35
KGH.WA,2024-05-15,156.7,159,151.9,153,871669,133365357
KGH.WA,2024-05-16,155.7,158.5,153.7,157.15,972299,152796787.85
KGH.WA,2024-05-17,156.95,165,155,164.35,1112840,182895254
KGH.WA,2024-05-20,170,171.55,167.4,170,982282,166987940
KGH.WA,2024-05-21,168,170.7,167.1,169.65,728002,123505539.3
KGH.WA,2024-05-22,168,168.95,159.7,161,1041570,167692770
KGH.WA,2024-05-23,159,159.65,153.9,157.05,1115960,175261518
KGH.WA,2024-05-24,155,158.45,154.6,158.05,430656,68065180.8
KGH.WA,2024-05-27,157.5,159.15,156.7,158.8,243961,38741006.8
KGH.WA,2024-05-28,159.5,160.4,155.15,157.25,646238,101620925.5
KGH.WA,2024-05-29,157.25,157.55,151.75,151.75,791288,120077954
KGH.WA,2024-05-31,148.3,153.15,148,151.7,1855411,281465848.7
KGH.WA,2024-06-03,153,155.5,152.65,154.15,341244,52602762.6
KGH.WA,2024-06-04,155,155.15,147.8,148.25,610761,90545318.25
KGH.WA,2024-06-05,148.25,148.85,142.05,143.75,832838,119720462.5
KGH.WA,2024-06-06,144.2,147.15,144.2,146.65,452513,66361031.45
KGH.WA,2024-06-07,146.7,146.8,141.6,143.2,668268,95695977.6
KGH.WA,2024-06-10,141.8,144.45,140.4,144.25,407879,58836545.75
KGH.WA,2024-06-11,144.25,144.6,140.1,142.15,545252,77507571.8
KGH.WA,2024-06-12,144,146.55,142.4,144.4,503569,72715363.6
KGH.WA,2024-06-13,143,145.2,142.35,142.95,412801,59009902.95
KGH.WA,2024-06-14,142.7,143.5,139.1,141.45,396881,56138817.45
KGH.WA,2024-06-17,140,141.5,138.3,141.1,460118,64922649.8
KGH.WA,2024-06-18,142.15,142.85,138.95,140.85,475513,66976006.05
KGH.WA,2024-06-19,142.55,143.75,141.3,141.85,637206,90387671.1
KGH.WA,2024-06-20,142.3,144.9,141.65,144.05,458228,66007743.4
KGH.WA,2024-06-21,143.65,144.9,141.5,142.1,1656977,235456431.7
KGH.WA,2024-06-24,143.15,152.5,142.1,151.95,727185,110495760.75
KGH.WA,2024-06-25,151.8,153.4,149.7,150.95,576911,87084715.45
KGH.WA,2024-06-26,151.6,154.55,150.1,150.3,618876,93017062.8
KGH.WA,2024-06-27,150.4,150.65,147.6,148,323220,47836560
KGH.WA,2024-06-28,150,151.9,148.25,150.35,385806,58005932.1
KGH.WA,2024-07-01,150.55,151,147.7,147.9,358461,53016381.9
KGH.WA,2024-07-02,147.75,148,144.7,146.7,429436,62998261.2
KGH.WA,2024-07-03,150,152.9,149.55,152.45,456630,69613243.5
KGH.WA,2024-07-04,152.9,153.2,151.05,151.95,223347,33937576.65
KGH.WA,2024-07-05,153.3,156.25,152,152.3,496511,75618625.3
KGH.WA,2024-07-08,150.95,154.9,150.5,153.35,439819,67446243.65
KGH.WA,2024-07-09,154.25,155.2,153,154.65,445837,68948692.05
KGH.WA,2024-07-10,154.25,154.4,150.75,153.35,421616,64654813.6
KGH.WA,2024-07-11,152.85,156.6,152.25,154.5,393582,60808419
KGH.WA,2024-07-12,153.95,156.7,152.6,156,290817,45367452
KGH.WA,2024-07-15,155.25,155.8,151.65,153.35,360744,55320092.4
KGH.WA,2024-07-16,152.7,152.7,144.75,145.75,821066,119670369.5
KGH.WA,2024-07-17,145.75,148.25,144.4,145.3,556625,80877612.5
